v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
SNDXHZB0138,Split Hem Plaid Skirt,,<p><b>Style</b>: Preppy</p><p><b>Color</b>: Baby Blue</p><p><b>Pattern Type</b>: Plaid</p><p><b>Length</b>: Mini</p><p><b>Type</b>: Straight</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Split</p><p><b>Waist Line</b>: Natural</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Preppy</p><p><b>Color</b>: Lilac Purple</p><p><b>Pattern Type</b>: Plaid</p><p><b>Length</b>: Mini</p><p><b>Type</b>: Straight</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Split</p><p><b>Waist Line</b>: High Waist</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Skirts/swskirt07200602356.jpg,,Size#XS:S:M:L:XL:,23.32,,,,1,1,,,Skirts,,Split Hem Plaid Skirt,Split Hem Plaid Skirt,Split Hem Plaid Skirt,,,,,,,,,
SNDXHZB0139,Graphic Knot Ribbed Halter Top,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Blue</p><p><b>Pattern Type</b>: Graphic</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Halter</p><p><b>Details</b>: Knot</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Halter</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 80% Polyester</p><p><b>Composition</b>: 20% Cotton</p><p><b>Fabric</b>: High Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Casual</p><p><b>Color</b>: Brown</p><p><b>Pattern Type</b>: Graphic</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Halter</p><p><b>Details</b>: Knot</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Halter</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 80% Polyester</p><p><b>Composition</b>: 20% Cotton</p><p><b>Fabric</b>: High Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Casual</p><p><b>Color</b>: Green</p><p><b>Pattern Type</b>: Graphic</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Halter</p><p><b>Details</b>: Knot</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Halter</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 80% Polyester</p><p><b>Composition</b>: 20% Cotton</p><p><b>Fabric</b>: High Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/rw2106301299916969.jpg,,Size#XS:S:M:L:,27.78,,,,1,1,,,Tank Tops & Cam's,,Graphic Knot Ribbed Halter Top,Graphic Knot Ribbed Halter Top,Graphic Knot Ribbed Halter Top,,,,,,,,,
SNDXHZB0140,Starry Night Pattern Round Charm Necklace,,<p><b>Type</b>: Pendant Necklaces</p><p><b>Details</b>: Round</p><p><b>Material</b>: Alloy</p><p><b>Color</b>: Silver</p><p><b>Metal Color</b>: Silver</p><p><b>Style</b>: Casual</p>,img/Pendant_Necklaces/swneck18200911538.jpg,,Size#,17.37,,,,1,1,,,Pendant Necklaces,,Starry Night Pattern Round Charm Necklace,Starry Night Pattern Round Charm Necklace,Starry Night Pattern Round Charm Necklace,,,,,,,,,
SNDXHZB0141,Vintage Bangle Bracelet Leather Wax Rope Wave Multilayer Beaded Bracelet Fashion Jewelry for Women,,"<p>
	</p><p>
	</p><p>
</p><p>Notice:</p>",img/Bracelets/SKUA67240.jpg,,Size#,25.27,,,,1,1,,,Bracelets,,Vintage Bangle Bracelet Leather Wax Rope Wave Multilayer Beaded Bracelet Fashion Jewelry for Women,Vintage Bangle Bracelet Leather Wax Rope Wave Multilayer Beaded Bracelet Fashion Jewelry for Women,Vintage Bangle Bracelet Leather Wax Rope Wave Multilayer Beaded Bracelet Fashion Jewelry for Women,,,,,,,,,
SNDXHZB0142,Casual Oxford Large Capacity Flap Pocket Convertible Strap Outdoor Travel Crossbody Bag Backpack,,"<p>Color:Purple, Blue, Black, Khaki, Red</p><p>Style:Casual</p><p>Pattern:Solid</p><p>Capacity:4A Magazine</p>",img/Backpack/SKUH96958.jpg,,Size#,73.84,,,,1,1,,,Backpack,,Casual Oxford Large Capacity Flap Pocket Convertible Strap Outdoor Travel Crossbody Bag Backpack,Casual Oxford Large Capacity Flap Pocket Convertible Strap Outdoor Travel Crossbody Bag Backpack,Casual Oxford Large Capacity Flap Pocket Convertible Strap Outdoor Travel Crossbody Bag Backpack,,,,,,,,,
SNDXHZB0143,Large Size Women Square Toe Transparent Dual Band Butterfly Slide Slippers,,"<p>Color:Yellow, Black, Blue</p><p>Type:Slides Slipper</p><p>Closure Type:Slip-On</p><p>Heel Type:Flat</p><p>Heel Height:1-3cm In Flat</p><p>Toe Type:Opened, Round</p><p>Pattern:Calico</p><p>Design Element:Bowknot</p><p>Upper Material:PVC</p><p>Style:Casual</p><p>Outsole Material:Rubber</p><p>Structure:Slip-On</p><p>Occasion:Casual</p><p>Function:Antiskid, Light Weight</p><p>Season:Summer, Autumn, Spring</p>",img/Slippers/SKUH76893.jpg,,Size#US 5:US 6:US 7:US 8:US 9:US 10:US 11:US 12:,51.33,,,,1,1,,,Slippers,,Large Size Women Square Toe Transparent Dual Band Butterfly Slide Slippers,Large Size Women Square Toe Transparent Dual Band Butterfly Slide Slippers,Large Size Women Square Toe Transparent Dual Band Butterfly Slide Slippers,,,,,,,,,
SNDXHZB0144,SOCOFY Retro Embroidered Flannel Stitching Cowhide Leather Ankle Strap Wearable Chunky Heel Pumps,,"<p>Color:Black</p><p>Type:Mary Jane</p><p>Closure Type:Hook & Loop</p><p>Heel Type:Chunky Heel</p><p>Heel Height:5-8cm In Heel</p><p>Toe Type:Round</p><p>Pattern:Calico</p><p>Design Element:Embroidered</p><p>Upper Material:Cloth</p><p>Style:Casual, Retro</p><p>Outsole Material:Rubber</p><p>Structure:Hook & Loop, Buckle</p><p>Occasion:Party, Casual</p><p>Function:Hard-wearing</p><p>Season:Summer, Spring&Fall</p>",img/Heels/SKUH00624.jpg,,Size#US 5:US 6:US 7:US 8:US 9.5:US 10.5:US 11.5:,50.59,,,,1,1,,,Heels,,SOCOFY Retro Embroidered Flannel Stitching Cowhide Leather Ankle Strap Wearable Chunky Heel Pumps,SOCOFY Retro Embroidered Flannel Stitching Cowhide Leather Ankle Strap Wearable Chunky Heel Pumps,SOCOFY Retro Embroidered Flannel Stitching Cowhide Leather Ankle Strap Wearable Chunky Heel Pumps,,,,,,,,,
SNDXHZB0145,Contrast Plaid Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Plaid</p><p><b>Pattern Type</b>: Colorblock</p><p><b>Type</b>: Straight Leg</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Knot</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Cotton Blends</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/rwshorts25210510008.jpg,,Size#XS:S:M:L:,27.12,,,,1,1,,,Shorts,,Contrast Plaid Shorts,Contrast Plaid Shorts,Contrast Plaid Shorts,,,,,,,,,
SNDXHZB0146,Drawstring Waist Wide Leg Pants,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Long</p><p><b>Type</b>: Wide Leg</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Details</b>: Drawstring</p><p><b>Details</b>: Pocket</p><p><b>Details</b>: Rib-Knit</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Loose</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Drawstring Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Pants/swpants07201014105.jpg,,Size#XS:S:M:L:XL:,25.61,,,,1,1,,,Pants,,Drawstring Waist Wide Leg Pants,Drawstring Waist Wide Leg Pants,Drawstring Waist Wide Leg Pants,,,,,,,,,
SNDXHZB0147,Colorblock Tie Strap Skirt,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Colorblock</p><p><b>Length</b>: Mini</p><p><b>Type</b>: Straight</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Knot</p><p><b>Details</b>: Cut Out</p><p><b>Details</b>: Rib-Knit</p><p><b>Waist Line</b>: Natural</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Medium Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Skirts/rw2106223893292365.jpg,,Size#S:M:L:,30.89,,,,1,1,,,Skirts,,Colorblock Tie Strap Skirt,Colorblock Tie Strap Skirt,Colorblock Tie Strap Skirt,,,,,,,,,
