v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
BDOSTVR0136,Letter Figure Graphic Ribbed Tank Top,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Apricot</p><p><b>Pattern Type</b>: Letter</p><p><b>Pattern Type</b>: Figure</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Tank</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Round Neck</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: High Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/rwvest25210608268.jpg,,Size#XS:S:M:L:,32.25,,,,1,1,,,Tank Tops & Cam's,,Letter Figure Graphic Ribbed Tank Top,Letter Figure Graphic Ribbed Tank Top,Letter Figure Graphic Ribbed Tank Top,,,,,,,,,
BDOSTVR0137,Split Hem Tartan Skirt,,<p><b>Style</b>: Preppy</p><p><b>Color</b>: Lilac Purple</p><p><b>Pattern Type</b>: Tartan</p><p><b>Length</b>: Mini</p><p><b>Type</b>: A Line</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Split</p><p><b>Details</b>: Zipper</p><p><b>Waist Line</b>: High Waist</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 97% Polyester</p><p><b>Composition</b>: 3% Spandex</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Skirts/swskirt07200513840.jpg,,Size#XS:S:M:L:XL:,29.17,,,,1,1,,,Skirts,,Split Hem Tartan Skirt,Split Hem Tartan Skirt,Split Hem Tartan Skirt,,,,,,,,,
BDOSTVR0138,Flap Pocket Buckle Cargo Pants,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Khaki</p><p><b>Length</b>: Long</p><p><b>Type</b>: Cargo Pants</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Details</b>: Drawstring</p><p><b>Details</b>: Pocket</p><p><b>Details</b>: Tape</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Drawstring Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Casual</p><p><b>Color</b>: Baby Pink</p><p><b>Length</b>: Cropped</p><p><b>Type</b>: Cargo Pants</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Details</b>: Drawstring</p><p><b>Details</b>: Pocket</p><p><b>Details</b>: Tape</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Drawstring Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Cropped</p><p><b>Season</b>: All</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Drawstring Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Pants/swpants00200824860.jpg,,Size#XS:S:M:L:,31.87,,,,1,1,,,Pants,,Flap Pocket Buckle Cargo Pants,Flap Pocket Buckle Cargo Pants,Flap Pocket Buckle Cargo Pants,,,,,,,,,
BDOSTVR0139,Solid Knot Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Blue</p><p><b>Pattern Type</b>: Plain</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Wide Leg</p><p><b>Details</b>: Knot</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/rwshorts25210520568.jpg,,Size#S:M:L:,25.4,,,,1,1,,,Shorts,,Solid Knot Shorts,Solid Knot Shorts,Solid Knot Shorts,,,,,,,,,
BDOSTVR0140,Bohemian Mulyilayer Bracelet Leather Flower Alloy Bangle Bracelet Vintage Jewelry for Women,,"<p>
	</p><p>
</p><p>
	 </p><p>Notice:</p>",img/Bracelets/SKUA67225.jpg,,Size#,26.4,,,,1,1,,,Bracelets,,Bohemian Mulyilayer Bracelet Leather Flower Alloy Bangle Bracelet Vintage Jewelry for Women,Bohemian Mulyilayer Bracelet Leather Flower Alloy Bangle Bracelet Vintage Jewelry for Women,Bohemian Mulyilayer Bracelet Leather Flower Alloy Bangle Bracelet Vintage Jewelry for Women,,,,,,,,,
BDOSTVR0141,8mm Stainless Steel Mens Rings Tungsten Carbide Rings Unisex Jewelry Gift for Him Her,,"<p>Type: Finger Ring</p><p>Material: Stainless Steel, Carbon Fiber</p><p>Size(US): US 7 / 8 / 9 / 10 / 11 / 12</p><p>(Please see the size reference for size conversion and detail information.)</p><p>1 x Ring</p>",img/Rings/SKU573625.jpg,,Size#7:8:9:10:11:12:,14.3,,,,1,1,,,Rings,,8mm Stainless Steel Mens Rings Tungsten Carbide Rings Unisex Jewelry Gift for Him Her,8mm Stainless Steel Mens Rings Tungsten Carbide Rings Unisex Jewelry Gift for Him Her,8mm Stainless Steel Mens Rings Tungsten Carbide Rings Unisex Jewelry Gift for Him Her,,,,,,,,,
BDOSTVR0142,Women Cat Pattern Handbag Crossbody Bag,,"<p>Bag Type:Satchel</p><p>Color:Blue, Brown, Grey</p><p>Material:PU</p><p>Style:Casual</p><p>Pattern:Cat</p><p>Hardness:Soft</p>",img/Handbags/SKUC10430.jpg,,Size#M:,59.79,,,,1,1,,,Handbags,,Women Cat Pattern Handbag Crossbody Bag,Women Cat Pattern Handbag Crossbody Bag,Women Cat Pattern Handbag Crossbody Bag,,,,,,,,,
BDOSTVR0143,Men Quick Dry Mesh Super Soft Outdoor Multifunctional Boating Water shoes,,"<p>Color:Black, Blue, Grey</p><p>Upper Material:Mesh</p><p>Outsole Material:Rubber</p><p>Type:Water Shoes</p><p>Function:Soft</p><p>Occasion:Daily, Beach</p><p>Closure Type:Lace-up</p><p>Season:All Season</p><p>Toe Type:Round</p>",img/Sneakers__Athletic/SKUC94631.jpg,,Size#US 6.5:US 7.5:US 8:US 8.5:US 9:US 10:US 10.5:US 11:US 11.5:,49.3,,,,1,1,,,Sneakers & Athletic,,Men Quick Dry Mesh Super Soft Outdoor Multifunctional Boating Water shoes,Men Quick Dry Mesh Super Soft Outdoor Multifunctional Boating Water shoes,Men Quick Dry Mesh Super Soft Outdoor Multifunctional Boating Water shoes,,,,,,,,,
BDOSTVR0144,Large Size Women Casual Flowers Open Toe Platform Slippers,,"<p>Color:Yellow, Black, Pink, Blue</p><p>Heel Type:Platforms</p><p>Toe Type:Opened</p><p>Upper Material:PU</p><p>Outsole Material:Rubber</p><p>Season:Summer</p>",img/Slippers/SKUC99632.jpg,,Size#US 5:US 6:US 7:US 8:US 9:US 10:US 11:US 12:,54.22,,,,1,1,,,Slippers,,Large Size Women Casual Flowers Open Toe Platform Slippers,Large Size Women Casual Flowers Open Toe Platform Slippers,Large Size Women Casual Flowers Open Toe Platform Slippers,,,,,,,,,
BDOSTVR0145,Letter Graphic Two Tone Ribbed Tank Top,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Colorblock</p><p><b>Pattern Type</b>: Graphic</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Tank</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Round Neck</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Casual</p><p><b>Color</b>: Black and White</p><p><b>Pattern Type</b>: Colorblock</p><p><b>Pattern Type</b>: Graphic</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Tank</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Round Neck</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p><p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Colorblock</p><p><b>Pattern Type</b>: Graphic</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Tank</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Round Neck</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/rwvest25210618471.jpg,,Size#XS:S:M:L:,23.89,,,,1,1,,,Tank Tops & Cam's,,Letter Graphic Two Tone Ribbed Tank Top,Letter Graphic Two Tone Ribbed Tank Top,Letter Graphic Two Tone Ribbed Tank Top,,,,,,,,,
